Month,BSC,Province,District,Cluster,Site Name,latitude,longitude,Home Op Customer Count,Comp A Customer Count,Comp B Customer Count,Comp C Customer Count,Comp D Customer Count,Total Customer Count,Home Op Market Share,Comp A Market Share,Comp B Market Share,Comp C Market Share,Comp D Market Share,Market Share
September,Harare North,Harare,Goromonzi,Goromonzi,Crowhill Views,-17.686979,31.169862,583,135,33,56,4,811,71.89,16.65,4.07,6.91,0.49,2
September,Harare North,Harare,Goromonzi,Goromonzi,Goromonzi,-17.8479,31.37507,9655,1712,834,111,5,12317,78.39,13.9,6.77,0.9,0.04,3
September,Harare North,Harare,Goromonzi,Goromonzi,Hatcliffe,-17.65693,31.11009,9448,2045,1085,112,3,12693,74.43,16.11,8.55,0.88,0.02,2
September,Harare North,Harare,Goromonzi,Goromonzi,Sally Mugabe Heights,-17.658251,31.191412,767,197,57,33,1,1055,72.7,18.67,5.4,3.13,0.09,2
September,Harare North,Harare,Goromonzi,Goromonzi,Sally Mugabe Heights,-17.65825,31.19141,7183,1321,544,96,5,9149,78.51,14.44,5.95,1.05,0.05,3
September,Harare North,Harare,Harare,Avenues,Bristol Court,-17.81859,31.03784,541,109,45,42,4,741,73.01,14.71,6.07,5.67,0.54,2
September,Harare North,Harare,Harare,Avenues,Bristol Court,-17.818589,31.037836,140,44,15,5,2,206,67.96,21.36,7.28,2.43,0.97,1
September,Harare North,Harare,Harare,Avenues,Fife Avenue,-17.81873,31.05505,565,140,49,33,5,792,71.34,17.68,6.19,4.17,0.63,2
September,Harare North,Harare,Harare,Avenues,Fife Avenue,-17.818727,31.055053,29,9,6,3,0,47,61.7,19.15,12.77,6.38,0,1
September,Harare North,Harare,Harare,Avenues,Greenwood Heights,-17.81694,31.05624,681,181,56,31,4,953,71.46,18.99,5.88,3.25,0.42,2
September,Harare North,Harare,Harare,Avenues,Greenwood Heights,-17.816939,31.056242,359,96,37,33,2,527,68.12,18.22,7.02,6.26,0.38,1
September,Harare North,Harare,Harare,Avenues,Greenwood Park,-17.81481,31.05982,2050,599,182,111,1,2943,69.66,20.35,6.18,3.77,0.03,1
September,Harare North,Harare,Harare,Avenues,Harare Sports Club,-17.814486,31.051602,1127,276,118,62,1,1584,71.15,17.42,7.45,3.91,0.06,2
September,Harare North,Harare,Harare,Avenues,Harland Court,-17.81947,31.05159,1255,280,108,113,2,1758,71.39,15.93,6.14,6.43,0.11,2
September,Harare North,Harare,Harare,Avenues,Hilton,-17.817864,31.041293,668,152,50,53,4,927,72.06,16.4,5.39,5.72,0.43,2
September,Harare North,Harare,Harare,Avenues,Hilton,-17.81786,31.04129,1539,347,141,112,11,2150,71.58,16.14,6.56,5.21,0.51,2
September,Harare North,Harare,Harare,Avenues,Killarney,-17.81808,31.06021,818,208,80,66,1,1173,69.74,17.73,6.82,5.63,0.09,1
September,Harare North,Harare,Harare,Avenues,Killarney,-17.818075,31.060205,433,96,39,42,3,613,70.64,15.66,6.36,6.85,0.49,2
September,Harare North,Harare,Harare,Avenues,Montague,-17.81805,31.04855,1282,314,103,117,8,1824,70.29,17.21,5.65,6.41,0.44,2
September,Harare North,Harare,Harare,Avenues,Montague,-17.818047,31.048547,483,135,33,48,4,703,68.71,19.2,4.69,6.83,0.57,1
September,Harare North,Harare,Harare,Avenues,Montague Heights,-17.81958,31.04131,1035,247,102,78,6,1468,70.5,16.83,6.95,5.31,0.41,2
September,Harare North,Harare,Harare,Avenues,Montague Heights,-17.819576,31.041312,234,51,18,22,1,326,71.78,15.64,5.52,6.75,0.31,2
September,Harare North,Harare,Harare,Avenues,Natwitch Court,-17.82007,31.04282,1225,264,85,64,7,1645,74.47,16.05,5.17,3.89,0.43,2
September,Harare North,Harare,Harare,Avenues,Natwitch Court,-17.820065,31.042816,210,53,18,16,2,299,70.23,17.73,6.02,5.35,0.67,2
September,Harare North,Harare,Harare,Avenues,Northcliffe,-17.81697,31.044627,489,116,34,35,1,675,72.44,17.19,5.04,5.19,0.15,2
September,Harare North,Harare,Harare,Avenues,Northcliffe,-17.81697,31.04463,973,271,96,53,2,1395,69.75,19.43,6.88,3.8,0.14,1
September,Harare North,Harare,Harare,Avenues,Norton Manor,-17.821021,31.047521,243,64,15,22,1,345,70.43,18.55,4.35,6.38,0.29,2
September,Harare North,Harare,Harare,Avenues,Norton Manor,-17.82102,31.04752,1568,349,124,112,1,2154,72.79,16.2,5.76,5.2,0.05,2
September,Harare North,Harare,Harare,Avenues,Roma Court,-17.82238,31.04,1328,323,150,93,8,1902,69.82,16.98,7.89,4.89,0.42,1
September,Harare North,Harare,Harare,Avenues,Roma Court,-17.822378,31.04,335,83,23,33,2,476,70.38,17.44,4.83,6.93,0.42,2
September,Harare North,Harare,Harare,Avenues,Warwick House,-17.81602,31.05261,843,211,78,64,1,1197,70.43,17.63,6.52,5.35,0.08,2
September,Harare North,Harare,Harare,Avenues,Warwick House,-17.816019,31.052608,453,85,32,34,2,606,74.75,14.03,5.28,5.61,0.33,2
September,Harare North,Harare,Harare,Avenues,Worverton,-17.822763,31.042891,142,30,11,6,1,190,74.74,15.79,5.79,3.16,0.53,2
September,Harare North,Harare,Harare,Avenues,Worverton,-17.82276,31.04289,991,248,81,38,4,1362,72.76,18.21,5.95,2.79,0.29,2
September,Harare North,Harare,Harare,Avondale,Alex Park,-17.79111,31.05444,1794,438,145,175,15,2567,69.89,17.06,5.65,6.82,0.58,1
September,Harare North,Harare,Harare,Avondale,Avondale,-17.806194,31.03886,86,13,7,12,2,120,71.67,10.83,5.83,10,1.67,2
September,Harare North,Harare,Harare,Avondale,Avondale,-17.80619,31.03886,1941,416,172,164,13,2706,71.73,15.37,6.36,6.06,0.48,2
September,Harare North,Harare,Harare,Avondale,Avondale Monmounth Rd,-17.78296,31.02976,1018,221,93,135,2,1469,69.3,15.04,6.33,9.19,0.14,1
September,Harare North,Harare,Harare,Avondale,Avondale Ridge Road,-17.796752,31.03288,615,143,53,92,3,906,67.88,15.78,5.85,10.15,0.33,1
